ref_cell_id_fine,X,Y,Z,Col11a2,Emilin3a,Fgf10a,Hand2,Myod1,Prdm1a,Robo3,Sox9a,Tbx5a
68,0.35345888041004436,0.17048720429284386,0.2665495865566847,0.5293175474910224,0.08118756042006277,0.398374588364955,0.301742774613485,0.09815775828814151,0.1170350853160603,0.14105170498248867,0.24922133738374405,0.5548286757669642
69,0.35427863954504213,0.09925465578825479,0.2983242437772721,0.5142589041040381,0.04306864163713283,0.4882754300416228,0.1640342870448455,0.07374599373149214,0.11731207270024997,0.22057886847225722,0.21335368391999954,0.4802660722379131
70,0.46724600871139554,0.1754185510428405,0.18408513886517522,0.4663202809071228,0.01667750387986846,0.19998030082401969,0.09716049487196955,0.05210190432915721,0.08429335332519948,0.24450104731530878,0.08721568210836267,0.3681788471472392
71,0.45869461140457657,0.15155376408757018,0.0932514242358647,0.41871870699484404,0.010273899019020184,0.10911886650431955,0.08680719821653748,0.038116843609174854,0.06633040813974952,0.08852629596210884,0.11115848963109161,0.2445822949564034
72,0.4646265891761152,0.0779737807231191,0.1058750531311922,0.5086600739102158,0.033559065555846014,0.08253785040019004,0.051854241439014695,0.044203525000752926,0.05405171286311688,0.06026501639007811,0.11889454936168782,0.304554782505392
73,0.18012147713560575,0.061782651884786294,0.18671931515128856,0.6530496568509129,0.06050137925512468,0.2480559754936745,,0.3404935588804173,0.14379872344616837,0.25469763368423465,0.25877593627788315,0.5401289794525008
74,0.2980885963477636,0.029969694767184616,0.08372899686805105,0.6401685839326985,0.036755818907491494,0.15635839771563484,0.07697866857439166,0.2674819027678802,0.09556000812074969,0.1577513940277659,0.13338286828853324,0.13958137533478115
75,0.2700214641939466,0.12199140767326319,0.39208867924505847,0.6554511874756466,0.017777692738968436,0.28567930652058093,0.1506298804202682,0.08616410417736764,0.310598598892096,0.3995586531519739,0.08366240739533781,0.16150132886592616
76,0.3452863774765526,0.21562048041092505,0.16550858268879917,0.46184366757002654,0.012490189325160102,0.13795678879491063,0.12095650431024219,0.6033473977845376,0.17700433412878083,0.1787990650717789,0.09122702663101263,0.10974019546560086
77,0.3514087043281695,0.13640131143639875,0.1422383194687216,0.47088329906053383,0.2496287635755591,0.10838634382951641,0.37940382540525375,0.09627068554739643,0.061922677138758084,0.10158830361265503,0.45644567519872103,0.5127603375780446
78,0.2671121838181921,0.10568516283617033,0.14412439519173104,0.5753507151617963,0.38178978305269295,0.13247312830643643,0.2555679538562312,0.41225464714292487,0.1012144294656748,0.13668109300408063,0.3061374383218812,0.42656950234761726
79,0.3848432409798483,0.16490118030695447,0.3363278820878078,0.7194056199680227,,0.27101465206924014,0.16440578646208856,0.08358976044472957,0.2586946781323252,0.301522535905929,0.09455091763293728,0.2073104268752813
80,0.32515870803567715,0.13552417532129704,0.1933552786233091,0.5557004047474678,0.5706755916785234,0.12627377751159669,0.5565463023739995,0.09586245543368792,0.09986218211275785,0.1110675725297191,0.4856373885739239,0.6964576240545349
